acc_scores,f1_scores,fold_number,dataset_name,classes,dataset_len,percent_labeled_samples,exec_time_secs_9_runs
0,0.6691109074243813,0.6756693397923056,0,TREC_Train,6,5452,0.1,212.1448483467102
1,0.6434463794683777,0.6519783574752911,1,TREC_Train,6,5452,0.1,212.1448483467102
2,0.6082568807339449,0.6178526727110528,2,TREC_Train,6,5452,0.1,212.1448483467102
3,0.6697247706422018,0.6753792561808653,3,TREC_Train,6,5452,0.1,212.1448483467102
4,0.6568807339449542,0.6618415581203484,4,TREC_Train,6,5452,0.1,212.1448483467102
5,0.7277726856095326,0.7330040282969832,0,TREC_Train,6,5452,0.2,212.1448483467102
6,0.6975252062328139,0.7041944002413628,1,TREC_Train,6,5452,0.2,212.1448483467102
7,0.6926605504587156,0.697694236465803,2,TREC_Train,6,5452,0.2,212.1448483467102
8,0.6990825688073394,0.7030439396958112,3,TREC_Train,6,5452,0.2,212.1448483467102
9,0.6844036697247706,0.6888905860833568,4,TREC_Train,6,5452,0.2,212.1448483467102
10,0.7286892758936755,0.7317392076150997,0,TREC_Train,6,5452,0.3,212.1448483467102
11,0.7176901924839597,0.7216434800586159,1,TREC_Train,6,5452,0.3,212.1448483467102
12,0.710091743119266,0.713363547967535,2,TREC_Train,6,5452,0.3,212.1448483467102
13,0.7165137614678899,0.7191641191747322,3,TREC_Train,6,5452,0.3,212.1448483467102
14,0.7018348623853211,0.7026399530449019,4,TREC_Train,6,5452,0.3,212.1448483467102
15,0.7488542621448213,0.753011299183392,0,TREC_Train,6,5452,0.4,212.1448483467102
16,0.7259395050412466,0.7317136294799776,1,TREC_Train,6,5452,0.4,212.1448483467102
17,0.7376146788990826,0.7416640451053937,2,TREC_Train,6,5452,0.4,212.1448483467102
18,0.7192660550458716,0.7225980520486037,3,TREC_Train,6,5452,0.4,212.1448483467102
19,0.7256880733944954,0.7285826859369917,4,TREC_Train,6,5452,0.4,212.1448483467102
20,0.769019248395967,0.7734069994067267,0,TREC_Train,6,5452,0.5,212.1448483467102
21,0.7497708524289642,0.754803310467718,1,TREC_Train,6,5452,0.5,212.1448483467102
22,0.7376146788990826,0.7425072271766711,2,TREC_Train,6,5452,0.5,212.1448483467102
23,0.7422018348623853,0.7457774829427342,3,TREC_Train,6,5452,0.5,212.1448483467102
24,0.7302752293577982,0.7332784711482824,4,TREC_Train,6,5452,0.5,212.1448483467102
25,0.7616865261228231,0.766072767196336,0,TREC_Train,6,5452,0.6,212.1448483467102
26,0.7442713107241063,0.7500694836648509,1,TREC_Train,6,5452,0.6,212.1448483467102
27,0.7440366972477064,0.7475000730586335,2,TREC_Train,6,5452,0.6,212.1448483467102
28,0.7385321100917431,0.7429905680013061,3,TREC_Train,6,5452,0.6,212.1448483467102
29,0.736697247706422,0.73918488100587,4,TREC_Train,6,5452,0.6,212.1448483467102
30,0.769019248395967,0.7725136560475945,0,TREC_Train,6,5452,0.7,212.1448483467102
31,0.7671860678276811,0.7723174440896768,1,TREC_Train,6,5452,0.7,212.1448483467102
32,0.7541284403669725,0.7573190470515286,2,TREC_Train,6,5452,0.7,212.1448483467102
33,0.7559633027522936,0.7600050728488359,3,TREC_Train,6,5452,0.7,212.1448483467102
34,0.7513761467889908,0.7525264969024082,4,TREC_Train,6,5452,0.7,212.1448483467102
35,0.7800183318056828,0.7840703949757469,0,TREC_Train,6,5452,0.8,212.1448483467102
36,0.7745187901008249,0.778350047457423,1,TREC_Train,6,5452,0.8,212.1448483467102
37,0.7651376146788991,0.7677569966790376,2,TREC_Train,6,5452,0.8,212.1448483467102
38,0.763302752293578,0.766610580227893,3,TREC_Train,6,5452,0.8,212.1448483467102
39,0.7504587155963303,0.7524153767780956,4,TREC_Train,6,5452,0.8,212.1448483467102
40,0.7855178735105408,0.7893498025890812,0,TREC_Train,6,5452,0.9,212.1448483467102
41,0.7818515123739689,0.7855390843221717,1,TREC_Train,6,5452,0.9,212.1448483467102
42,0.7642201834862385,0.7667213342440824,2,TREC_Train,6,5452,0.9,212.1448483467102
43,0.7642201834862385,0.7676361997792244,3,TREC_Train,6,5452,0.9,212.1448483467102
44,0.7642201834862385,0.7657497077799337,4,TREC_Train,6,5452,0.9,212.1448483467102
45,0.7873510540788268,0.7909556425874315,0,TREC_Train,6,5452,1.0,212.1448483467102
46,0.769019248395967,0.7759336573058433,1,TREC_Train,6,5452,1.0,212.1448483467102
47,0.7724770642201835,0.7747920210801497,2,TREC_Train,6,5452,1.0,212.1448483467102
48,0.773394495412844,0.7764044419851408,3,TREC_Train,6,5452,1.0,212.1448483467102
49,0.7651376146788991,0.7666291177039658,4,TREC_Train,6,5452,1.0,212.1448483467102
