acc_scores,f1_scores,fold_number,dataset_name,classes,dataset_len,percent_labeled_samples,exec_time_secs_9_runs
0.8938333333333334,0.8932418106779969,1,AG_News_30K_Train,4,30000,0.8,3812.445608139038
0.8983333333333333,0.8979691137959016,2,AG_News_30K_Train,4,30000,0.8,3812.445608139038
0.8988333333333334,0.8984685274957717,3,AG_News_30K_Train,4,30000,0.8,3812.445608139038
0.893,0.8926448639424229,4,AG_News_30K_Train,4,30000,0.8,3812.445608139038
0.8981666666666667,0.8977617879252321,0,AG_News_30K_Train,4,30000,0.9,3812.445608139038
0.8965,0.8959880400893503,1,AG_News_30K_Train,4,30000,0.9,3812.445608139038
0.9005,0.900122594582492,2,AG_News_30K_Train,4,30000,0.9,3812.445608139038
0.8991666666666667,0.8987960883292482,3,AG_News_30K_Train,4,30000,0.9,3812.445608139038
0.8955,0.8951201031475468,4,AG_News_30K_Train,4,30000,0.9,3812.445608139038
0.9001666666666667,0.8997644516089188,0,AG_News_30K_Train,4,30000,1.0,3812.445608139038
0.896,0.8954990190707698,1,AG_News_30K_Train,4,30000,1.0,3812.445608139038
0.9028333333333334,0.9025070752955544,2,AG_News_30K_Train,4,30000,1.0,3812.445608139038
0.901,0.9006569018958365,3,AG_News_30K_Train,4,30000,1.0,3812.445608139038
0.8968333333333334,0.8964723673726979,4,AG_News_30K_Train,4,30000,1.0,3812.445608139038
0.6942,0.7104715016095438,0,imdb_Train,2,25000,0.1,908.0146272182463
0.7124,0.7265119817421074,1,imdb_Train,2,25000,0.1,908.0146272182463
0.6904,0.6984807167900273,2,imdb_Train,2,25000,0.1,908.0146272182463
0.7052,0.7090406632451638,3,imdb_Train,2,25000,0.1,908.0146272182463
0.7008,0.7062058130400629,4,imdb_Train,2,25000,0.1,908.0146272182463
0.7682,0.7786055396370583,0,imdb_Train,2,25000,0.2,908.0146272182463
0.785,0.7924309712299672,1,imdb_Train,2,25000,0.2,908.0146272182463
0.768,0.7702060221870047,2,imdb_Train,2,25000,0.2,908.0146272182463
0.7754,0.7766063258404615,3,imdb_Train,2,25000,0.2,908.0146272182463
0.7724,0.7758960220559277,4,imdb_Train,2,25000,0.2,908.0146272182463
0.8026,0.8118207816968541,0,imdb_Train,2,25000,0.3,908.0146272182463
0.818,0.8233695652173914,1,imdb_Train,2,25000,0.3,908.0146272182463
0.8016,0.8046474990153605,2,imdb_Train,2,25000,0.3,908.0146272182463
0.8144,0.8165282720442862,3,imdb_Train,2,25000,0.3,908.0146272182463
0.8114,0.8133781911735604,4,imdb_Train,2,25000,0.3,908.0146272182463
0.8228,0.8313665778454511,0,imdb_Train,2,25000,0.4,908.0146272182463
0.8374,0.84265531256048,1,imdb_Train,2,25000,0.4,908.0146272182463
0.8228,0.824345757335448,2,imdb_Train,2,25000,0.4,908.0146272182463
0.8406,0.8422094634725796,3,imdb_Train,2,25000,0.4,908.0146272182463
0.8304,0.8310756972111554,4,imdb_Train,2,25000,0.4,908.0146272182463
0.8358,0.842388174313688,0,imdb_Train,2,25000,0.5,908.0146272182463
0.8438,0.8473715067422318,1,imdb_Train,2,25000,0.5,908.0146272182463
0.8344,0.8347305389221557,2,imdb_Train,2,25000,0.5,908.0146272182463
0.8448,0.8453567158230372,3,imdb_Train,2,25000,0.5,908.0146272182463
0.8436,0.8439744612928971,4,imdb_Train,2,25000,0.5,908.0146272182463
0.8404,0.8464794151596767,0,imdb_Train,2,25000,0.6,908.0146272182463
0.8522,0.8556922476078891,1,imdb_Train,2,25000,0.6,908.0146272182463
0.8406,0.8407592407592407,2,imdb_Train,2,25000,0.6,908.0146272182463
0.853,0.8532641245757636,3,imdb_Train,2,25000,0.6,908.0146272182463
0.8512,0.8509018036072143,4,imdb_Train,2,25000,0.6,908.0146272182463
0.8506,0.8556521739130435,0,imdb_Train,2,25000,0.7,908.0146272182463
0.8558,0.8587659157688541,1,imdb_Train,2,25000,0.7,908.0146272182463
0.842,0.841046277665996,2,imdb_Train,2,25000,0.7,908.0146272182463
0.8616,0.8613782051282051,3,imdb_Train,2,25000,0.7,908.0146272182463
0.8582,0.8578303589332265,4,imdb_Train,2,25000,0.7,908.0146272182463
0.8536,0.8584139264990329,0,imdb_Train,2,25000,0.8,908.0146272182463
0.859,0.8613023804839661,1,imdb_Train,2,25000,0.8,908.0146272182463
0.8446,0.843630509156772,2,imdb_Train,2,25000,0.8,908.0146272182463
0.862,0.8613901165126557,3,imdb_Train,2,25000,0.8,908.0146272182463
0.8616,0.860764587525151,4,imdb_Train,2,25000,0.8,908.0146272182463
0.8538,0.8587985319683215,0,imdb_Train,2,25000,0.9,908.0146272182463
0.8626,0.8641487047656714,1,imdb_Train,2,25000,0.9,908.0146272182463
0.8484,0.8468067906224737,2,imdb_Train,2,25000,0.9,908.0146272182463
0.8676,0.8670682730923696,3,imdb_Train,2,25000,0.9,908.0146272182463
0.8628,0.8620273531777956,4,imdb_Train,2,25000,0.9,908.0146272182463
0.8546,0.8594625942393196,0,imdb_Train,2,25000,1.0,908.0146272182463
0.8624,0.8638702018203404,1,imdb_Train,2,25000,1.0,908.0146272182463
0.8514,0.8495037472149078,2,imdb_Train,2,25000,1.0,908.0146272182463
0.868,0.867363344051447,3,imdb_Train,2,25000,1.0,908.0146272182463
0.866,0.8649193548387096,4,imdb_Train,2,25000,1.0,908.0146272182463
0.6506447831184057,0.6339066339066339,0,Rotten_Tomatoes_Train,2,8530,0.1,33.5540509223938
0.6647127784290738,0.657074340527578,1,Rotten_Tomatoes_Train,2,8530,0.1,33.5540509223938
0.675263774912075,0.644415917843389,2,Rotten_Tomatoes_Train,2,8530,0.1,33.5540509223938
0.6406799531066822,0.6236955187231431,3,Rotten_Tomatoes_Train,2,8530,0.1,33.5540509223938
0.6647127784290738,0.6529126213592233,4,Rotten_Tomatoes_Train,2,8530,0.1,33.5540509223938
0.6617819460726846,0.6587817859254879,0,Rotten_Tomatoes_Train,2,8530,0.2,33.5540509223938
0.6723329425556858,0.6759420289855073,1,Rotten_Tomatoes_Train,2,8530,0.2,33.5540509223938
0.690504103165299,0.6908665105386418,2,Rotten_Tomatoes_Train,2,8530,0.2,33.5540509223938
0.690504103165299,0.6933797909407665,3,Rotten_Tomatoes_Train,2,8530,0.2,33.5540509223938
0.6764361078546307,0.6786961583236322,4,Rotten_Tomatoes_Train,2,8530,0.2,33.5540509223938
0.6840562719812426,0.6893371757925073,0,Rotten_Tomatoes_Train,2,8530,0.3,33.5540509223938
0.7028135990621337,0.7104511707595661,1,Rotten_Tomatoes_Train,2,8530,0.3,33.5540509223938
0.716295427901524,0.7243735763097949,2,Rotten_Tomatoes_Train,2,8530,0.3,33.5540509223938
0.6764361078546307,0.6827586206896551,3,Rotten_Tomatoes_Train,2,8530,0.3,33.5540509223938
0.7039859320046893,0.7096032202415181,4,Rotten_Tomatoes_Train,2,8530,0.3,33.5540509223938
0.705158264947245,0.7090803932909194,0,Rotten_Tomatoes_Train,2,8530,0.4,33.5540509223938
0.7139507620164126,0.7214611872146118,1,Rotten_Tomatoes_Train,2,8530,0.4,33.5540509223938
0.7215709261430246,0.7329960652051715,2,Rotten_Tomatoes_Train,2,8530,0.4,33.5540509223938
0.6992966002344666,0.708688245315162,3,Rotten_Tomatoes_Train,2,8530,0.4,33.5540509223938
0.7110199296600235,0.7135386403253922,4,Rotten_Tomatoes_Train,2,8530,0.4,33.5540509223938
0.6975381008206331,0.6975381008206331,0,Rotten_Tomatoes_Train,2,8530,0.5,33.5540509223938
0.716295427901524,0.720554272517321,1,Rotten_Tomatoes_Train,2,8530,0.5,33.5540509223938
0.7344665885111371,0.7370864770748694,2,Rotten_Tomatoes_Train,2,8530,0.5,33.5540509223938
0.6922626025791325,0.6952988972721996,3,Rotten_Tomatoes_Train,2,8530,0.5,33.5540509223938
0.7022274325908558,0.7063583815028901,4,Rotten_Tomatoes_Train,2,8530,0.5,33.5540509223938
0.705158264947245,0.7063631056625803,0,Rotten_Tomatoes_Train,2,8530,0.6,33.5540509223938
0.7215709261430246,0.7277936962750716,1,Rotten_Tomatoes_Train,2,8530,0.6,33.5540509223938
0.7291910902696366,0.735091743119266,2,Rotten_Tomatoes_Train,2,8530,0.6,33.5540509223938
0.7069167643610785,0.7103128621089224,3,Rotten_Tomatoes_Train,2,8530,0.6,33.5540509223938
0.7104337631887456,0.7144508670520231,4,Rotten_Tomatoes_Train,2,8530,0.6,33.5540509223938
0.7233294255568582,0.7255813953488371,0,Rotten_Tomatoes_Train,2,8530,0.7,33.5540509223938
0.7397420867526378,0.7459954233409611,1,Rotten_Tomatoes_Train,2,8530,0.7,33.5540509223938
0.7397420867526378,0.7462857142857143,2,Rotten_Tomatoes_Train,2,8530,0.7,33.5540509223938
