acc_scores,f1_scores,fold_number,dataset_name,classes,dataset_len,percent_labeled_samples,exec_time_secs_9_runs
0,0.822,0.8194411122654556,0,AG_News_30K_Train,4,30000,0.1,3812.445608139038
1,0.8291666666666667,0.8271594639365888,1,AG_News_30K_Train,4,30000,0.1,3812.445608139038
2,0.8278333333333333,0.8256429512410335,2,AG_News_30K_Train,4,30000,0.1,3812.445608139038
3,0.8325,0.8305557338662499,3,AG_News_30K_Train,4,30000,0.1,3812.445608139038
4,0.8325,0.8311830049333785,4,AG_News_30K_Train,4,30000,0.1,3812.445608139038
5,0.855,0.8536320670155467,0,AG_News_30K_Train,4,30000,0.2,3812.445608139038
6,0.861,0.8597722073665591,1,AG_News_30K_Train,4,30000,0.2,3812.445608139038
7,0.8558333333333333,0.8544664958968978,2,AG_News_30K_Train,4,30000,0.2,3812.445608139038
8,0.8621666666666666,0.8610938072182791,3,AG_News_30K_Train,4,30000,0.2,3812.445608139038
9,0.8648333333333333,0.8641761622129822,4,AG_News_30K_Train,4,30000,0.2,3812.445608139038
10,0.8746666666666667,0.8738023488464521,0,AG_News_30K_Train,4,30000,0.3,3812.445608139038
11,0.8745,0.8736740348649358,1,AG_News_30K_Train,4,30000,0.3,3812.445608139038
12,0.8721666666666666,0.8711736614943566,2,AG_News_30K_Train,4,30000,0.3,3812.445608139038
13,0.8771666666666667,0.8765577101490419,3,AG_News_30K_Train,4,30000,0.3,3812.445608139038
14,0.8766666666666667,0.8760896787292289,4,AG_News_30K_Train,4,30000,0.3,3812.445608139038
15,0.882,0.881394840314531,0,AG_News_30K_Train,4,30000,0.4,3812.445608139038
16,0.8831666666666667,0.8824891593237473,1,AG_News_30K_Train,4,30000,0.4,3812.445608139038
17,0.8845,0.8839925511891438,2,AG_News_30K_Train,4,30000,0.4,3812.445608139038
18,0.884,0.883499529099409,3,AG_News_30K_Train,4,30000,0.4,3812.445608139038
19,0.879,0.8784979325520026,4,AG_News_30K_Train,4,30000,0.4,3812.445608139038
20,0.8888333333333334,0.888281670142226,0,AG_News_30K_Train,4,30000,0.5,3812.445608139038
21,0.8861666666666667,0.8854891773012331,1,AG_News_30K_Train,4,30000,0.5,3812.445608139038
22,0.8883333333333333,0.8878709117780008,2,AG_News_30K_Train,4,30000,0.5,3812.445608139038
23,0.8915,0.8911438820919169,3,AG_News_30K_Train,4,30000,0.5,3812.445608139038
24,0.889,0.8886235418387242,4,AG_News_30K_Train,4,30000,0.5,3812.445608139038
25,0.892,0.8915517204988761,0,AG_News_30K_Train,4,30000,0.6,3812.445608139038
26,0.889,0.8883920441380512,1,AG_News_30K_Train,4,30000,0.6,3812.445608139038
27,0.8908333333333334,0.8903787152365406,2,AG_News_30K_Train,4,30000,0.6,3812.445608139038
28,0.892,0.8915828140778969,3,AG_News_30K_Train,4,30000,0.6,3812.445608139038
29,0.89,0.8895445891610089,4,AG_News_30K_Train,4,30000,0.6,3812.445608139038
30,0.8933333333333333,0.8928112508401849,0,AG_News_30K_Train,4,30000,0.7,3812.445608139038
31,0.892,0.8913985631725296,1,AG_News_30K_Train,4,30000,0.7,3812.445608139038
32,0.8953333333333333,0.8949299895265461,2,AG_News_30K_Train,4,30000,0.7,3812.445608139038
33,0.8955,0.8951131791675055,3,AG_News_30K_Train,4,30000,0.7,3812.445608139038
34,0.8946666666666667,0.8942406131718773,4,AG_News_30K_Train,4,30000,0.7,3812.445608139038
35,0.8936666666666667,0.8932076214013153,0,AG_News_30K_Train,4,30000,0.8,3812.445608139038
36,0.8938333333333334,0.8932418106779969,1,AG_News_30K_Train,4,30000,0.8,3812.445608139038
37,0.8983333333333333,0.8979691137959016,2,AG_News_30K_Train,4,30000,0.8,3812.445608139038
38,0.8988333333333334,0.8984685274957717,3,AG_News_30K_Train,4,30000,0.8,3812.445608139038
39,0.893,0.8926448639424229,4,AG_News_30K_Train,4,30000,0.8,3812.445608139038
40,0.8981666666666667,0.8977617879252321,0,AG_News_30K_Train,4,30000,0.9,3812.445608139038
41,0.8965,0.8959880400893503,1,AG_News_30K_Train,4,30000,0.9,3812.445608139038
42,0.9005,0.900122594582492,2,AG_News_30K_Train,4,30000,0.9,3812.445608139038
43,0.8991666666666667,0.8987960883292482,3,AG_News_30K_Train,4,30000,0.9,3812.445608139038
44,0.8955,0.8951201031475468,4,AG_News_30K_Train,4,30000,0.9,3812.445608139038
45,0.9001666666666667,0.8997644516089188,0,AG_News_30K_Train,4,30000,1.0,3812.445608139038
46,0.896,0.8954990190707698,1,AG_News_30K_Train,4,30000,1.0,3812.445608139038
47,0.9028333333333334,0.9025070752955544,2,AG_News_30K_Train,4,30000,1.0,3812.445608139038
48,0.901,0.9006569018958365,3,AG_News_30K_Train,4,30000,1.0,3812.445608139038
49,0.8968333333333334,0.8964723673726979,4,AG_News_30K_Train,4,30000,1.0,3812.445608139038
